Species,PP1905,PP2019,CP1903,CP2019,HB1967,HB2019,Genus
Actinotaenium_cucurbita,0,0,0,0,0,1,Actinotaenium
Bambusina_borreri,1,1,1,0,0,1,Bambusina
Closterium_acerosum,0,0,1,0,0,0,Closterium
Closterium_aciculare,0,1,0,1,0,0,Closterium
Closterium_acutum,0,0,0,1,0,1,Closterium
Closterium_angustatum,0,0,0,0,0,1,Closterium
Closterium_attenuatum,1,0,0,0,0,0,Closterium
Closterium_baillyanum,0,0,0,0,0,1,Closterium
Closterium_calosporum,1,0,0,0,0,0,Closterium
Closterium_cf_directum,0,0,0,0,0,1,Closterium
Closterium_cf_moniliferum,0,0,0,1,0,0,Closterium
Closterium_cf_venus,0,0,0,1,0,0,Closterium
Closterium_closterioides,1,0,1,0,0,0,Closterium
Closterium_costatum,1,0,0,0,0,0,Closterium
Closterium_decorum,1,0,0,0,0,0,Closterium
Closterium_dianae,1,0,1,1,0,0,Closterium
Closterium_ehrenbergii,0,0,0,1,0,0,Closterium
Closterium_gracile,0,0,0,1,0,0,Closterium
Closterium_incurvum,0,1,0,0,0,0,Closterium
Closterium_intermedium,0,0,0,1,0,1,Closterium
Closterium_juncindum,1,0,0,0,0,0,Closterium
Closterium_Kutzingii,1,1,0,1,0,1,Closterium
Closterium_leibleinii,0,0,0,0,0,0,Closterium
Closterium_lunula,1,1,0,0,0,0,Closterium
Closterium_macilentum,1,0,1,0,0,0,Closterium
Closterium_parvulum,1,0,0,1,0,0,Closterium
Closterium_pronum,1,0,0,0,0,0,Closterium
Closterium_ralfsii,1,0,0,0,0,0,Closterium
Closterium_robustum,0,0,1,0,0,0,Closterium
Closterium_rostratum,0,1,1,1,0,1,Closterium
Closterium_setaceum,1,1,1,1,0,0,Closterium
Closterium_striolatum,0,1,1,1,0,0,Closterium
Closterium_tumidum,1,0,0,0,0,0,Closterium
Cosmarium_amoenum,1,1,1,0,0,1,Cosmarium
Cosmarium_baileyi,0,0,0,0,0,0,Cosmarium
Cosmarium_botrytis,0,0,1,0,0,1,Cosmarium
Cosmarium_capense,1,0,0,0,0,0,Cosmarium
Cosmarium_cf_circulare,0,0,0,1,0,0,Cosmarium
Cosmarium_cf_ocellatum,0,0,0,0,0,1,Cosmarium
Cosmarium_claviferum,1,0,0,0,0,0,Cosmarium
Cosmarium_connatum,1,0,0,0,0,0,Cosmarium
Cosmarium_contractum,0,1,0,0,0,0,Cosmarium
Cosmarium_cucumis,1,0,0,0,0,1,Cosmarium
Cosmarium_debaryi,1,0,0,0,0,0,Cosmarium
Cosmarium_eloiseanum_var_depressum,1,0,0,0,0,0,Cosmarium
